"","N_B_RNA3","N_B_RNA5","M_W_RNA6","N_B_RNA10","N_B_RNA11","M_W_RNA12","M_W_RNA14","M_W_RNA16","M_W_RNA17"
"ENSG00000204859.12",181,418,410,477,496,100,544,276,348
"ENSG00000162413.16",424,1150,741,786,754,261,623,511,729
"ENSG00000116273.5",228,357,605,511,540,126,375,449,476
"ENSG00000041988.15",81,267,234,259,302,62,185,174,162
"ENSG00000007923.15",433,872,930,646,1003,902,593,826,738
"ENSG00000228750.6",0,0,0,0,0,0,0,0,0
"ENSG00000284744.1",0,0,0,0,0,0,0,0,0
"ENSG00000237436.1",0,6,5,0,2,0,2,9,3
"ENSG00000171735.18",162,666,708,594,724,656,394,457,627
"ENSG00000227950.1",0,0,0,0,0,0,0,0,0
"ENSG00000237365.1",0,0,0,0,0,0,0,0,0
"ENSG00000207056.1",0,2,0,0,0,0,0,1,0
"ENSG00000237402.1",0,0,0,0,0,0,0,0,0
"ENSG00000237728.2",0,0,0,0,0,0,0,0,0
"ENSG00000225126.1",0,0,0,0,0,0,0,0,0
"ENSG00000270171.1",2,0,1,1,3,0,0,2,3
"ENSG00000270035.1",0,0,3,5,7,0,13,8,4
"ENSG00000269978.1",0,8,3,7,9,0,6,2,2
"ENSG00000049245.12",461,2316,2296,2094,2265,2036,1611,1575,2424
"ENSG00000269925.1",0,19,10,17,24,35,26,15,26
"ENSG00000049246.14",309,2162,1862,1335,1802,866,1288,1048,1235
"ENSG00000236266.1",0,0,0,0,2,0,0,0,0
"ENSG00000049247.13",0,35,1,20,4,0,20,3,1
"ENSG00000049249.8",0,16,7,6,6,8,20,13,8
"ENSG00000270330.1",0,0,1,0,0,0,0,0,0
"ENSG00000116288.12",465,2840,3411,2603,4400,2923,1520,2816,2789
"ENSG00000200344.1",0,0,0,0,0,0,0,0,0
"ENSG00000284747.1",7,2,6,13,16,0,9,1,12
"ENSG00000284716.1",0,3,3,7,1,0,5,0,3
"ENSG00000116285.12",704,958,14284,1727,1579,1946,1146,1954,3274
"ENSG00000238290.1",11,11,8,10,16,43,13,3,22
"ENSG00000232848.1",0,6,1,0,0,0,0,1,0
"ENSG00000229305.1",0,1,0,1,0,0,1,4,0
"ENSG00000227634.2",0,0,1,1,0,0,0,0,0
"ENSG00000200975.1",0,0,0,0,0,0,0,0,0
"ENSG00000233645.1",0,0,0,0,0,0,0,0,0
"ENSG00000251977.1",0,0,0,0,0,0,0,0,0
"ENSG00000162426.14",22,65,32,64,48,0,59,27,47
"ENSG00000252254.1",0,0,3,0,1,0,0,2,0
"ENSG00000142599.17",1893,5796,5737,4901,7372,6557,5089,4743,4884
"ENSG00000232912.5",0,2,4,7,8,0,10,9,7
"ENSG00000221083.1",3,5,1,3,8,0,4,4,3
"ENSG00000270282.1",0,0,0,0,0,0,0,0,0
"ENSG00000234619.1",1,0,0,0,0,0,0,1,0
"ENSG00000224315.2",17,24,22,76,62,14,47,6,55
"ENSG00000222511.2",0,25,1,3,2,2,3,4,8
"ENSG00000226545.1",0,0,0,0,0,0,0,0,0
"ENSG00000228423.2",34,13,7,23,23,9,27,1,27
"ENSG00000229716.2",0,0,0,0,0,0,0,0,0
"ENSG00000074800.15",1966,5453,8505,5999,7862,3159,3573,15479,7309
"ENSG00000274258.1",0,0,0,0,0,0,0,0,0
