"","N_B_RNA3","N_B_RNA5","N_W_RNA7","N_B_RNA10","N_B_RNA11","N_W_RNA13","N_W_RNA15","N_W_RNA18"
"ENSG00000231510.1",0,0,0,0,0,0,0,0
"ENSG00000284616.1",0,0,0,0,0,0,0,0
"ENSG00000284692.2",0,0,0,0,0,2,2,0
"ENSG00000284666.1",0,0,0,0,0,0,0,0
"ENSG00000260972.1",0,0,0,0,0,0,0,0
"ENSG00000283356.1",0,0,0,0,0,0,0,0
"ENSG00000236948.2",0,0,0,0,0,0,0,0
"ENSG00000264341.1",0,0,0,0,0,0,0,0
"ENSG00000264101.1",0,0,0,4,5,0,0,0
"ENSG00000131697.17",80,224,206,193,219,324,266,257
"ENSG00000069424.14",93,96,110,62,53,106,88,97
"ENSG00000116254.17",24,71,8,37,13,31,12,9
"ENSG00000285629.1",0,0,0,0,0,0,0,0
"ENSG00000116251.10",344,2340,3591,2230,3032,2037,2939,2344
"ENSG00000226944.1",0,2,7,3,2,2,6,3
"ENSG00000158286.12",219,278,271,351,282,529,263,572
"ENSG00000116237.15",527,2315,3745,1583,3010,1644,2535,2115
"ENSG00000225077.3",0,0,1,0,0,2,0,1
"ENSG00000173673.7",0,0,0,0,0,0,0,0
"ENSG00000158292.6",41,44,74,58,21,40,37,62
"ENSG00000097021.19",106,279,136,113,159,122,194,116
"ENSG00000271746.1",0,5,8,4,7,7,11,3
"ENSG00000069812.11",41,209,133,112,117,125,341,110
"ENSG00000187017.16",31,105,45,78,29,85,74,87
"ENSG00000265392.1",0,0,0,0,0,0,0,0
"ENSG00000231868.1",0,0,0,0,0,0,0,0
"ENSG00000215788.10",71,33,32,70,29,89,54,52
"ENSG00000171680.21",132,188,169,179,159,248,237,225
"ENSG00000162408.10",345,984,1611,861,1048,954,1134,1276
"ENSG00000253022.1",0,0,0,0,0,0,0,0
"ENSG00000229519.2",0,0,0,0,0,0,0,0
"ENSG00000173662.20",0,2,0,0,4,0,2,4
"ENSG00000204859.12",181,418,507,477,496,464,599,435
"ENSG00000162413.16",424,1150,855,786,754,725,721,567
"ENSG00000116273.5",228,357,587,511,540,492,530,628
"ENSG00000041988.15",81,267,252,259,302,201,242,165
"ENSG00000007923.15",433,872,1096,646,1003,867,1023,970
"ENSG00000228750.6",0,0,0,0,0,0,0,0
"ENSG00000284744.1",0,0,0,0,0,0,0,0
"ENSG00000237436.1",0,6,3,0,2,1,0,2
"ENSG00000171735.18",162,666,753,594,724,463,539,766
"ENSG00000227950.1",0,0,0,0,0,0,0,0
"ENSG00000237365.1",0,0,0,0,0,0,0,0
"ENSG00000207056.1",0,2,0,0,0,0,0,0
"ENSG00000237402.1",0,0,3,0,0,0,1,0
"ENSG00000237728.2",0,0,0,0,0,0,0,0
"ENSG00000225126.1",0,0,1,0,0,0,0,0
"ENSG00000270171.1",2,0,1,1,3,1,3,0
"ENSG00000270035.1",0,0,1,5,7,4,4,2
"ENSG00000269978.1",0,8,4,7,9,5,3,5
"ENSG00000049245.12",461,2316,2848,2094,2265,1506,2399,2009
"ENSG00000269925.1",0,19,13,17,24,21,11,38
"ENSG00000049246.14",309,2162,1723,1335,1802,1229,2590,1124
"ENSG00000236266.1",0,0,0,0,2,1,0,0
"ENSG00000049247.13",0,35,50,20,4,1,4,13
"ENSG00000049249.8",0,16,15,6,6,9,9,14
"ENSG00000270330.1",0,0,0,0,0,0,0,0
"ENSG00000116288.12",465,2840,4535,2603,4400,2064,3607,2452
"ENSG00000200344.1",0,0,1,0,0,0,0,0
"ENSG00000284747.1",7,2,5,13,16,13,11,14
"ENSG00000284716.1",0,3,1,7,1,2,3,3
"ENSG00000116285.12",704,958,2919,1727,1579,2307,1522,6835
"ENSG00000238290.1",11,11,18,10,16,15,6,18
"ENSG00000232848.1",0,6,3,0,0,0,2,0
"ENSG00000229305.1",0,1,0,1,0,1,0,0
"ENSG00000227634.2",0,0,0,1,0,2,0,1
"ENSG00000200975.1",0,0,0,0,0,0,0,0
"ENSG00000233645.1",0,0,0,0,0,0,0,0
"ENSG00000251977.1",0,0,0,0,0,0,0,0
"ENSG00000162426.14",22,65,82,64,48,47,138,74
"ENSG00000252254.1",0,0,1,0,1,0,0,2
"ENSG00000142599.17",1893,5796,5420,4901,7372,6982,7428,5058
"ENSG00000232912.5",0,2,0,7,8,20,6,18
"ENSG00000221083.1",3,5,1,3,8,4,11,6
"ENSG00000270282.1",0,0,0,0,0,0,0,0
"ENSG00000234619.1",1,0,1,0,0,0,0,0
"ENSG00000224315.2",17,24,26,76,62,64,35,51
"ENSG00000222511.2",0,25,0,3,2,3,2,0
"ENSG00000226545.1",0,0,0,0,0,0,0,0
"ENSG00000228423.2",34,13,5,23,23,50,35,48
"ENSG00000229716.2",0,0,0,0,0,0,0,0
"ENSG00000074800.15",1966,5453,11200,5999,7862,3431,6191,7356
"ENSG00000274258.1",0,0,0,0,0,1,1,1
"ENSG00000230679.1",7,5,17,14,13,5,5,2
"ENSG00000201725.1",0,0,0,0,0,0,0,0
"ENSG00000238249.2",0,1,0,0,0,0,0,0
"ENSG00000232208.2",0,0,1,0,0,0,0,1
"ENSG00000232663.2",0,0,0,0,0,0,0,0
"ENSG00000131686.14",0,0,2,0,1,0,0,0
