"","N_B_RNA3","N_B_RNA5","N_W_RNA7","N_B_RNA10","N_B_RNA11","N_W_RNA13","N_W_RNA15","N_W_RNA18"
"ENSG00000212605.1",0,0,0,1,0,1,2,0
"ENSG00000227536.1",9,21,18,12,17,30,22,25
"ENSG00000147164.11",315,1021,1514,940,1147,796,1257,1053
"ENSG00000184481.16",203,530,633,429,579,420,610,393
"ENSG00000204165.5",0,0,0,0,0,0,0,0
"ENSG00000285171.1",0,0,0,0,0,0,0,0
"ENSG00000147168.12",18,27,23,8,6,15,19,22
"ENSG00000184634.15",879,1813,2089,1802,1851,1950,2158,2002
"ENSG00000196338.12",281,261,74,91,47,65,83,54
"ENSG00000228427.1",11,2,5,0,3,5,3,7
"ENSG00000169562.10",76,237,1031,177,1167,349,701,280
"ENSG00000147130.14",447,1327,1474,1224,1439,1147,1734,1077
"ENSG00000147140.15",2177,6219,11117,6237,8442,5259,8418,6865
"ENSG00000147166.10",17,83,32,28,24,31,31,29
"ENSG00000224208.1",0,1,1,0,0,1,1,0
"ENSG00000213706.2",0,0,0,2,7,5,5,1
"ENSG00000147133.15",920,3092,2814,2805,2824,2963,2825,2729
"ENSG00000275975.1",0,0,0,0,0,0,1,0
"ENSG00000229601.1",0,0,0,0,2,0,0,0
"ENSG00000213018.2",0,0,0,0,0,0,0,0
"ENSG00000199751.1",0,0,0,1,0,0,1,0
"ENSG00000243468.5",0,0,1,0,0,3,0,0
"ENSG00000215120.2",0,0,0,0,1,0,0,0
"ENSG00000147162.13",2791,7463,8189,7602,10830,10314,8142,10712
"ENSG00000147174.11",14,29,33,49,59,73,36,53
"ENSG00000186810.7",9,8,7,0,3,3,14,12
"ENSG00000237265.6",0,0,1,0,0,0,0,0
"ENSG00000283599.2",4,0,0,0,0,0,0,0
"ENSG00000230934.1",0,0,0,0,0,0,0,0
"ENSG00000281852.1",0,6,6,4,3,1,1,0
"ENSG00000215115.6",0,0,0,0,0,0,0,0
"ENSG00000226870.2",0,0,0,0,0,0,0,0
"ENSG00000237182.1",0,0,0,0,0,0,0,0
"ENSG00000237717.1",0,0,0,0,0,0,0,0
"ENSG00000234442.4",0,0,0,0,0,0,0,0
"ENSG00000215113.6",0,0,0,0,0,0,0,0
"ENSG00000224617.1",0,0,0,0,0,0,0,0
"ENSG00000229030.1",0,0,0,0,0,0,0,0
"ENSG00000283178.1",0,0,1,0,0,0,0,0
"ENSG00000204131.9",293,796,669,380,240,392,552,512
"ENSG00000201392.1",0,0,0,0,0,0,0,0
"ENSG00000196933.5",4,1,0,0,0,2,2,0
"ENSG00000242732.4",89,238,192,166,147,198,317,206
"ENSG00000225471.5",0,0,0,0,0,0,0,0
"ENSG00000102309.12",78,334,651,334,502,294,476,359
"ENSG00000239577.3",0,3,6,1,0,4,1,4
"ENSG00000186871.6",3,19,46,15,41,13,20,40
"ENSG00000198034.10",4811,15560,31546,19042,23836,13880,19673,16716
"ENSG00000238926.1",0,0,0,0,0,0,0,0
"ENSG00000125931.10",1,2,3,1,2,4,5,4
"ENSG00000285547.1",0,0,0,0,0,0,0,0
"ENSG00000147099.20",147,598,725,650,860,771,778,873
"ENSG00000222810.1",0,5,1,10,8,3,4,9
"ENSG00000067177.14",189,768,1419,889,1627,919,1121,1190
"ENSG00000225858.1",0,0,0,0,0,0,0,0
"ENSG00000231944.1",0,0,0,1,4,0,0,1
"ENSG00000273788.1",0,0,0,0,0,0,0,0
"ENSG00000213698.2",0,0,0,0,0,0,0,0
"ENSG00000201271.1",0,0,0,0,0,0,0,0
"ENSG00000184911.14",0,0,0,1,0,0,0,0
"ENSG00000269911.1",0,0,0,0,0,0,0,0
"ENSG00000268994.3",0,0,0,0,0,0,0,0
"ENSG00000225396.5",0,0,0,0,0,0,0,0
"ENSG00000269502.5",1,0,0,0,0,0,0,0
"ENSG00000283594.1",0,0,0,0,0,0,0,0
"ENSG00000275520.1",0,0,0,0,0,0,0,0
"ENSG00000226725.2",0,0,3,0,4,4,1,0
"ENSG00000184388.5",0,16,23,31,61,34,87,37
"ENSG00000186288.5",0,20,44,15,71,49,100,41
"ENSG00000231963.1",0,0,0,0,2,1,0,1
"ENSG00000204118.2",0,30,55,59,92,29,67,5
"ENSG00000186462.8",18,573,438,448,818,328,576,405
"ENSG00000230311.2",9,0,1,0,4,1,7,1
"ENSG00000237014.1",0,0,0,0,0,0,0,0
"ENSG00000225664.3",0,0,0,0,0,0,0,0
"ENSG00000207486.1",0,0,0,0,0,0,0,0
"ENSG00000131264.3",0,1,0,0,0,0,0,0
"ENSG00000233162.1",0,0,0,0,0,0,0,0
"ENSG00000269904.2",0,1,3,3,3,8,6,4
"ENSG00000237475.2",0,0,0,0,0,0,0,0
"ENSG00000204116.11",75,1052,1116,917,1325,690,967,785
"ENSG00000230146.1",0,0,0,1,0,0,1,0
"ENSG00000270641.1",4,1,0,1,0,2,1,3
"ENSG00000229807.11",22,5,111,8,4,3,15,14
"ENSG00000274655.1",0,0,0,0,0,0,0,0
"ENSG00000277577.1",0,0,0,0,0,0,0,0
"ENSG00000278039.1",0,0,0,0,0,0,0,0
"ENSG00000182707.4",0,0,0,0,0,0,0,0
"ENSG00000225470.7",208,1031,1112,954,1520,975,1053,933
"ENSG00000274430.1",0,0,0,0,0,0,0,0
"ENSG00000276784.1",0,0,0,0,0,0,0,0
"ENSG00000230590.9",1084,5308,3646,4727,5272,4997,4105,4213
"ENSG00000228906.1",0,55,44,49,15,35,52,62
"ENSG00000271199.1",0,0,1,0,0,3,0,1
"ENSG00000233984.1",0,0,0,1,0,0,0,0
"ENSG00000203397.2",0,0,0,0,0,0,0,0
"ENSG00000234969.1",0,0,1,0,8,0,2,0
"ENSG00000223650.1",0,1,0,0,0,0,0,0
"ENSG00000232928.2",0,0,0,0,0,0,0,0
"ENSG00000280375.1",2,7,8,8,9,17,16,18
"ENSG00000230986.1",0,1,2,7,2,3,2,2
"ENSG00000224430.2",57,69,43,45,57,80,61,41
"ENSG00000231549.1",0,0,0,0,0,0,1,0
"ENSG00000204113.6",0,0,0,0,0,0,0,0
"ENSG00000228492.2",0,0,0,0,0,0,0,0
"ENSG00000271533.1",148,1165,980,1189,1278,1012,892,1025
"ENSG00000202566.4",30,26,11,37,37,31,32,21
"ENSG00000212027.3",1,17,14,34,22,29,19,20
"ENSG00000283534.1",0,0,0,0,0,0,0,0
"ENSG00000265727.2",79,112,98,114,111,148,116,114
"ENSG00000278421.1",0,0,0,0,0,0,0,0
"ENSG00000273974.1",0,0,0,0,0,0,0,0
"ENSG00000275254.1",0,0,0,0,0,0,0,0
"ENSG00000275625.1",0,0,0,0,0,0,0,0
"ENSG00000207820.1",0,0,2,1,0,2,0,9
"ENSG00000199168.3",0,0,0,0,3,1,5,0
"ENSG00000277922.1",0,0,0,0,0,0,0,0
"ENSG00000187969.5",0,0,0,0,0,0,0,0
"ENSG00000226515.1",0,0,0,0,0,0,0,0
"ENSG00000213269.2",1,0,0,0,2,0,1,1
"ENSG00000239745.3",0,0,0,0,0,0,0,0
"ENSG00000230665.3",2,7,1,4,3,9,0,0
"ENSG00000213695.3",0,0,0,0,0,0,0,1
"ENSG00000147100.10",114,615,505,386,504,387,557,393
"ENSG00000231206.2",0,0,0,1,0,1,0,0
"ENSG00000230673.3",47,14,27,13,16,27,21,29
"ENSG00000131263.12",839,5323,7718,4571,7458,4005,6064,5155
"ENSG00000199885.1",0,0,0,0,0,0,0,0
"ENSG00000050030.14",54,840,1139,609,1403,702,1203,685
"ENSG00000271589.1",0,0,0,0,0,0,0,0
"ENSG00000131269.16",154,620,1099,665,960,629,821,744
"ENSG00000229661.1",0,5,3,0,2,8,4,0
"ENSG00000199601.1",0,2,2,2,0,1,0,0
"ENSG00000094841.13",95,532,588,431,760,399,582,389
"ENSG00000232186.1",0,0,0,1,0,0,0,1
"ENSG00000102383.13",14,206,119,126,145,131,154,137
"ENSG00000233254.1",1,0,0,0,0,1,1,2
"ENSG00000237089.2",0,0,0,0,0,0,0,0
"ENSG00000224775.2",1,17,11,18,8,28,16,24
"ENSG00000215105.4",120,675,744,683,714,697,550,687
"ENSG00000186675.6",0,0,2,13,10,5,17,2
"ENSG00000233063.2",0,4,5,2,0,6,0,1
"ENSG00000226753.1",0,0,1,1,1,3,7,2
"ENSG00000226854.1",0,1,0,2,1,3,6,6
"ENSG00000232332.1",0,0,0,1,0,1,0,0
"ENSG00000102390.10",77,342,481,308,395,257,465,463
"ENSG00000237252.1",0,0,0,0,0,0,0,0
"ENSG00000201826.1",0,0,0,0,0,0,0,0
"ENSG00000274398.1",0,0,0,0,0,0,0,0
"ENSG00000213684.4",2,0,2,2,0,2,1,0
"ENSG00000198934.4",11,199,222,156,302,163,339,128
"ENSG00000223259.1",0,0,0,0,0,0,0,0
"ENSG00000235447.2",0,0,0,0,0,0,0,0
"ENSG00000280870.2",0,0,2,0,0,0,1,0
"ENSG00000283242.1",0,0,0,0,0,0,0,0
"ENSG00000207995.1",0,0,0,0,0,0,0,0
"ENSG00000201447.1",0,0,0,0,0,0,0,0
"ENSG00000234404.2",0,0,0,0,0,0,0,0
"ENSG00000196468.7",0,0,0,1,0,0,1,0
"ENSG00000085224.22",1727,9190,12002,7687,11848,8343,9303,8326
"ENSG00000237106.2",0,0,0,0,0,0,0,0
"ENSG00000102158.19",791,6534,8574,5444,9821,4041,6842,5760
"ENSG00000200906.1",0,0,0,0,0,0,0,0
"ENSG00000263410.2",0,0,0,0,0,0,0,0
"ENSG00000131174.5",300,1570,2304,1362,2269,794,1530,1230
"ENSG00000165240.19",357,2479,3028,1981,3312,1540,2563,1832
"ENSG00000102144.14",1164,5492,9426,5193,7737,3707,6886,5286
"ENSG00000248503.2",16,26,33,37,36,30,36,22
"ENSG00000226784.2",0,0,0,0,0,0,1,3
"ENSG00000187325.4",94,1147,1784,882,1793,732,1337,980
"ENSG00000223592.2",0,3,0,0,0,0,0,0
"ENSG00000173198.5",30,63,289,154,166,65,102,241
"ENSG00000224755.1",0,0,0,0,0,0,0,0
"ENSG00000235061.3",0,0,0,0,0,0,0,0
"ENSG00000179300.3",0,0,0,0,0,0,0,0
"ENSG00000271433.1",0,0,0,0,0,0,0,0
"ENSG00000147145.12",4,0,3,1,1,0,0,0
"ENSG00000227645.2",0,0,0,0,0,0,0,0
"ENSG00000283622.1",0,0,0,0,0,0,0,0
"ENSG00000078589.12",11,9,30,14,10,16,15,15
"ENSG00000232168.2",0,0,0,0,0,0,0,1
"ENSG00000147138.2",75,74,56,62,61,47,41,79
"ENSG00000271005.1",0,0,0,0,0,0,0,0
"ENSG00000225025.2",0,0,0,0,0,0,0,2
"ENSG00000078596.10",68,399,143,159,1146,95,249,106
"ENSG00000270268.1",0,0,0,0,0,0,0,0
"ENSG00000122145.14",0,1,6,9,5,0,14,3
"ENSG00000278530.4",72,347,498,630,468,250,668,370
"ENSG00000174016.11",0,3,19,9,8,5,20,2
"ENSG00000230247.2",0,0,0,0,0,0,0,0
"ENSG00000228051.1",0,0,0,0,1,1,1,0
"ENSG00000228612.2",1,0,0,0,0,2,1,2
"ENSG00000165288.10",411,1795,2348,1742,2221,1641,1882,2012
"ENSG00000225715.1",0,1,0,0,0,0,0,0
"ENSG00000239008.1",0,0,0,0,0,0,0,0
"ENSG00000212623.1",0,0,0,0,0,2,1,0
"ENSG00000073905.8",14,1,4,4,2,0,6,1
"ENSG00000212546.1",0,0,0,0,0,0,0,0
"ENSG00000284618.1",0,1,0,0,0,0,0,0
"ENSG00000198157.10",18,139,111,68,173,115,177,83
"ENSG00000131171.12",357,3318,4525,2069,4469,1855,2976,2151
"ENSG00000231875.1",1,23,5,10,14,8,7,10
"ENSG00000224523.1",0,2,5,2,4,2,0,1
"ENSG00000233446.2",0,0,0,0,0,0,0,0
"ENSG00000206826.1",0,0,0,0,0,0,0,0
"ENSG00000228041.2",0,0,0,0,0,0,0,0
"ENSG00000213653.4",0,0,0,0,0,0,0,1
"ENSG00000202183.1",0,0,0,0,0,0,0,0
"ENSG00000236365.1",0,0,0,0,0,0,0,0
"ENSG00000232735.2",0,0,0,0,0,0,0,0
"ENSG00000279437.1",0,0,0,0,0,0,0,0
"ENSG00000196767.7",0,0,0,0,0,0,0,0
"ENSG00000236870.2",0,0,0,0,0,0,0,0
"ENSG00000215102.2",0,0,1,0,1,0,1,0
"ENSG00000183035.12",0,0,0,0,0,0,0,0
"ENSG00000072133.10",70,865,1573,852,1812,920,1274,882
"ENSG00000221494.1",0,0,0,0,0,0,0,0
"ENSG00000165259.13",40,208,383,245,247,186,234,395
"ENSG00000233484.2",0,2,2,0,2,0,0,0
"ENSG00000237211.2",1,0,0,0,0,0,0,0
"ENSG00000229547.4",0,0,0,0,0,0,0,0
"ENSG00000230781.1",8,1,2,0,0,1,0,0
"ENSG00000155008.13",196,1669,1940,1096,2008,1166,1715,1210
"ENSG00000184788.13",0,0,0,0,2,2,2,0
"ENSG00000283446.1",0,0,0,0,0,0,0,0
"ENSG00000276391.1",0,0,0,0,0,0,0,0
"ENSG00000235461.1",0,0,0,0,0,0,0,0
"ENSG00000147180.16",68,464,280,323,249,294,225,303
"ENSG00000124429.17",61,357,308,1034,568,210,293,328
"ENSG00000283435.1",0,0,0,0,0,0,0,0
"ENSG00000223707.2",0,0,0,0,1,0,0,0
"ENSG00000276892.1",0,0,0,0,0,0,0,0
"ENSG00000188419.13",199,1580,1940,1209,2589,1097,1760,1484
"ENSG00000199051.3",0,0,1,0,0,2,0,3
"ENSG00000199567.1",0,0,0,0,0,0,0,0
"ENSG00000234039.2",0,0,0,0,0,0,0,0
"ENSG00000225536.2",0,1,0,2,0,3,1,1
"ENSG00000223574.1",0,0,0,0,0,0,0,0
"ENSG00000126733.20",0,23,46,5,105,112,121,112
"ENSG00000215093.3",1,0,2,0,0,1,0,0
"ENSG00000223772.1",0,3,0,0,6,6,2,14
"ENSG00000277717.1",0,0,0,0,8,0,0,0
"ENSG00000231478.1",0,0,4,0,5,0,0,0
"ENSG00000271290.1",0,0,0,0,0,0,0,0
"ENSG00000236190.1",0,0,0,0,0,1,0,0
"ENSG00000271457.1",0,0,0,0,0,0,0,0
"ENSG00000200422.1",0,0,0,0,0,0,0,0
"ENSG00000230478.1",0,1,0,0,0,0,0,0
"ENSG00000102271.13",0,46,38,7,3,6,12,21
"ENSG00000237506.3",5,1,3,4,9,2,3,5
"ENSG00000282914.1",0,0,0,0,0,0,0,0
"ENSG00000271205.1",0,0,0,0,0,0,0,0
"ENSG00000270446.1",0,0,0,0,0,0,0,0
"ENSG00000271056.1",0,0,0,0,0,0,0,0
"ENSG00000230706.2",0,0,0,0,0,0,0,0
"ENSG00000230956.2",0,0,0,0,0,0,1,1
"ENSG00000252016.1",0,0,0,0,0,0,0,0
"ENSG00000271693.1",0,0,0,0,0,0,0,0
"ENSG00000147183.9",0,0,0,0,0,0,0,0
"ENSG00000271157.1",0,0,0,0,0,0,0,0
"ENSG00000232576.2",0,0,0,0,0,0,0,0
"ENSG00000270745.1",0,0,0,0,0,0,0,0
"ENSG00000224065.2",0,0,0,0,0,0,0,0
"ENSG00000225012.5",0,0,0,0,0,0,0,0
"ENSG00000153779.10",0,0,0,0,0,0,0,0
"ENSG00000227581.2",0,0,0,0,0,0,0,0
"ENSG00000226081.2",0,0,0,0,0,0,0,0
"ENSG00000274022.1",0,0,0,0,0,0,0,0
"ENSG00000227434.2",0,0,0,0,0,0,0,0
"ENSG00000229667.2",0,0,0,0,0,0,0,0
"ENSG00000207515.1",0,0,0,0,0,0,0,0
"ENSG00000206062.4",0,0,0,0,0,0,0,0
"ENSG00000234161.1",0,14,5,2,6,4,10,8
"ENSG00000236413.2",0,0,0,0,0,0,0,0
"ENSG00000174740.7",9,93,129,38,112,74,137,70
"ENSG00000230275.2",0,0,0,0,0,0,0,0
"ENSG00000102290.22",28,56,30,10,12,5,48,8
"ENSG00000222440.1",0,0,0,0,0,0,0,0
"ENSG00000234702.1",0,0,0,0,0,0,0,0
"ENSG00000229132.2",10,4,17,12,2,11,13,11
"ENSG00000215089.3",0,0,3,0,1,1,2,4
"ENSG00000230543.1",0,0,0,0,0,0,0,0
"ENSG00000225912.1",9,0,3,1,2,2,3,3
"ENSG00000285445.1",0,0,0,0,0,0,0,0
"ENSG00000237873.1",0,0,0,0,0,0,0,0
"ENSG00000234130.2",0,1,0,0,0,1,1,0
"ENSG00000234322.1",0,2,3,2,1,1,2,0
"ENSG00000237381.2",0,0,0,0,0,0,0,0
"ENSG00000228301.1",0,0,0,0,0,0,0,0
"ENSG00000186310.9",14,183,80,49,56,70,61,47
"ENSG00000179083.6",0,4,1,1,0,2,3,1
"ENSG00000270826.1",0,0,0,0,0,0,0,0
"ENSG00000212495.1",0,0,0,0,0,0,0,0
"ENSG00000202410.1",0,0,0,0,0,0,0,0
"ENSG00000227521.2",0,0,0,0,0,0,0,0
"ENSG00000232293.2",0,0,0,7,3,0,0,1
"ENSG00000231001.2",0,0,0,0,0,0,0,0
"ENSG00000221187.1",0,0,0,0,0,0,0,0
"ENSG00000271094.1",0,0,0,0,0,0,0,0
"ENSG00000223467.2",0,0,0,0,0,0,0,0
"ENSG00000201567.1",0,0,0,0,0,0,0,0
"ENSG00000215085.4",0,0,0,0,4,0,0,0
"ENSG00000236185.1",0,0,0,0,0,0,0,0
"ENSG00000226307.1",0,0,0,0,0,0,0,0
"ENSG00000235425.2",0,0,0,0,0,0,0,0
"ENSG00000270583.1",0,0,0,0,0,0,0,0
"ENSG00000232842.2",0,4,1,1,3,0,1,1
"ENSG00000242998.3",0,0,0,0,0,0,0,0
"ENSG00000203262.3",0,0,0,0,0,0,0,0
"ENSG00000232069.1",0,0,0,0,0,0,0,0
"ENSG00000271209.1",0,0,0,0,0,0,0,0
"ENSG00000223260.1",0,0,0,0,0,0,0,0
"ENSG00000229693.2",0,0,0,0,0,0,0,0
"ENSG00000147202.17",345,1823,2566,1286,2161,1337,1846,1634
"ENSG00000207426.1",0,0,0,0,0,0,0,0
"ENSG00000204086.4",4,23,12,7,18,23,19,32
"ENSG00000214628.3",0,0,0,0,0,0,0,0
"ENSG00000277900.1",0,5,0,7,0,3,0,0
"ENSG00000265260.2",0,0,4,0,4,0,5,0
"ENSG00000236256.9",0,0,0,6,0,0,0,0
"ENSG00000233887.1",0,0,0,0,0,0,0,0
"ENSG00000237752.2",0,0,0,0,0,0,0,0
"ENSG00000234889.2",0,0,0,0,0,0,0,0
"ENSG00000236243.2",0,0,0,0,0,0,0,0
"ENSG00000271322.1",0,0,0,0,0,0,0,0
"ENSG00000213704.3",0,0,0,0,0,0,0,0
"ENSG00000226837.2",0,0,0,0,0,0,0,0
"ENSG00000281566.3",0,0,0,0,0,0,0,0
"ENSG00000270308.1",0,0,0,0,0,0,0,0
"ENSG00000215070.4",3,0,0,0,0,0,0,0
"ENSG00000229946.2",0,0,0,0,0,0,0,0
"ENSG00000252296.2",0,0,0,0,0,0,0,0
"ENSG00000236988.2",0,0,0,0,0,0,0,0
"ENSG00000230592.2",1,0,1,0,0,1,1,0
"ENSG00000165194.15",3,24,62,23,83,26,45,57
"ENSG00000000005.5",5,3,19,11,7,8,4,7
"ENSG00000000003.14",214,1212,1979,1495,2473,700,1945,1124
"ENSG00000102359.6",79,34,79,135,73,50,47,144
"ENSG00000102362.15",440,1849,939,1143,2061,1410,2970,1082
"ENSG00000223819.2",0,0,0,0,0,0,0,0
"ENSG00000238116.2",0,0,0,0,0,0,0,0
"ENSG00000275320.1",0,0,0,0,0,0,0,0
"ENSG00000101811.13",119,410,476,321,507,287,480,356
"ENSG00000202231.1",0,0,0,0,0,0,0,0
"ENSG00000007952.17",12,12,8,32,21,12,5,54
"ENSG00000239345.2",0,0,0,0,0,0,0,1
"ENSG00000233680.4",0,0,4,0,1,1,0,2
"ENSG00000179031.8",1,0,0,0,0,0,0,0
"ENSG00000182489.8",3,17,29,24,15,29,27,33
"ENSG00000182574.8",0,0,0,0,0,0,0,0
"ENSG00000174225.14",0,0,0,0,0,0,0,0
"ENSG00000188917.14",284,838,1034,869,1101,993,937,887
"ENSG00000225839.2",4,4,0,6,7,4,7,2
"ENSG00000126950.7",137,457,254,123,78,163,265,95
"ENSG00000102384.13",29,44,50,31,34,24,18,47
"ENSG00000231643.4",0,0,0,0,0,0,0,0
"ENSG00000102385.12",63,59,13,15,18,42,32,10
"ENSG00000102387.15",0,16,4,12,4,13,1,0
"ENSG00000202024.1",0,0,0,0,0,0,0,0
"ENSG00000270813.2",0,0,1,0,4,1,0,2
"ENSG00000183911.7",0,0,0,0,0,0,0,0
"ENSG00000126953.6",41,171,226,167,238,145,222,246
"ENSG00000010671.15",80,58,104,46,38,44,38,51
"ENSG00000241343.9",10,71,100,52,57,128,105,173
"ENSG00000257529.5",0,0,0,0,0,0,0,0
"ENSG00000102393.10",88,191,474,213,408,165,371,259
"ENSG00000126945.8",467,1910,4277,1930,3056,1489,3264,2380
"ENSG00000196440.11",193,963,923,848,910,1489,1861,881
"ENSG00000234557.2",0,0,0,0,0,0,0,0
"ENSG00000237682.2",1,5,2,3,1,2,1,1
"ENSG00000126947.12",178,1209,888,931,1367,717,1397,646
"ENSG00000204072.3",1,0,1,1,0,0,1,1
"ENSG00000198960.10",38,340,452,275,473,184,301,282
"ENSG00000102401.19",380,2785,5137,2744,5646,2187,4389,3362
"ENSG00000228275.1",0,1,2,1,4,1,1,1
"ENSG00000261101.2",26,30,39,19,58,34,37,27
"ENSG00000207291.1",0,0,0,2,0,0,0,0
"ENSG00000184867.13",201,1602,2084,1245,1677,1081,1746,1405
"ENSG00000223753.2",0,0,0,0,0,0,0,0
"ENSG00000212584.1",0,0,0,0,0,0,0,0
"ENSG00000229090.2",0,0,0,0,0,0,0,0
"ENSG00000178146.9",0,1,1,0,2,0,4,0
"ENSG00000126952.16",0,2,0,0,4,0,3,2
"ENSG00000166432.14",300,1230,1179,1550,1630,1812,1486,1031
"ENSG00000235196.3",0,0,0,0,0,0,0,0
"ENSG00000252810.1",0,0,0,0,0,0,0,0
"ENSG00000235976.2",0,0,0,0,0,0,0,0
"ENSG00000226119.1",0,0,0,0,0,0,0,0
"ENSG00000234901.1",0,0,0,0,0,0,0,0
"ENSG00000184905.8",33,225,277,223,108,91,396,162
"ENSG00000204071.10",0,3,0,0,1,0,2,2
"ENSG00000184515.10",14,91,60,78,18,71,147,99
"ENSG00000251525.6",0,0,0,0,0,0,0,0
"ENSG00000268235.7",0,0,0,0,0,0,0,0
"ENSG00000269405.6",0,0,0,0,0,0,0,0
"ENSG00000273746.1",0,0,0,0,0,0,4,0
"ENSG00000284800.1",0,0,0,0,0,0,0,0
"ENSG00000269437.7",0,0,0,0,0,0,0,0
"ENSG00000231590.2",0,0,0,0,0,0,3,0
"ENSG00000215029.9",0,0,0,0,0,0,0,0
"ENSG00000158164.6",9,125,691,197,632,210,469,235
"ENSG00000176318.8",0,1,0,0,0,0,0,0
"ENSG00000196970.8",0,0,0,0,0,0,0,0
"ENSG00000125962.14",125,729,1195,749,952,519,1024,662
"ENSG00000271147.7",16,185,267,219,323,224,239,224
"ENSG00000270050.1",0,0,0,0,0,2,0,1
"ENSG00000227211.2",0,0,0,0,0,0,0,0
"ENSG00000198932.12",427,1555,1278,1999,1617,1391,2123,1234
"ENSG00000252294.1",0,0,0,0,0,0,0,0
"ENSG00000230320.1",0,7,14,0,4,6,5,4
"ENSG00000158301.18",124,1078,1535,937,1397,974,1386,805
"ENSG00000198908.11",97,548,449,445,549,345,682,386
"ENSG00000223546.6",107,314,319,306,380,375,359,388
"ENSG00000232282.1",0,30,29,21,29,27,43,26
"ENSG00000229954.1",0,21,24,22,26,28,34,22
"ENSG00000237300.2",0,12,10,12,9,13,16,18
"ENSG00000237628.2",0,33,30,24,26,10,23,18
"ENSG00000228316.1",0,19,19,14,13,21,18,20
"ENSG00000224471.2",0,4,10,5,5,10,7,8
"ENSG00000226056.1",0,19,28,33,26,13,32,28
"ENSG00000234886.1",17,59,66,38,70,44,59,59
"ENSG00000227649.1",0,0,0,0,0,0,0,0
"ENSG00000229794.2",0,43,36,32,27,53,53,49
"ENSG00000239407.5",34,143,135,130,139,151,143,165
"ENSG00000102128.8",4,15,6,3,5,16,12,11
"ENSG00000234050.1",0,0,0,0,0,0,0,0
"ENSG00000224632.1",0,3,0,1,0,1,0,2
"ENSG00000133169.5",17,74,96,55,62,152,165,55
"ENSG00000147206.16",0,0,0,0,0,0,1,0
"ENSG00000226241.2",0,1,3,0,0,0,0,0
"ENSG00000233071.3",0,0,0,0,0,0,0,0
"ENSG00000102409.9",172,1208,2030,1095,1634,945,1608,892
"ENSG00000180964.16",81,1347,2137,986,1968,817,1471,885
"ENSG00000224692.1",0,0,0,0,0,0,0,0
"ENSG00000204065.2",0,4,3,2,3,5,3,1
"ENSG00000133134.11",39,326,474,295,370,271,574,410
"ENSG00000182916.7",8,88,68,23,52,58,72,51
"ENSG00000238049.2",0,0,0,0,0,0,0,0
"ENSG00000185222.9",133,776,1536,813,1271,608,1284,875
"ENSG00000166681.13",446,1782,2422,1454,1930,1518,2543,1505
"ENSG00000281091.2",1,1,13,6,7,8,8,5
"ENSG00000234405.1",0,4,2,1,5,4,8,5
"ENSG00000172476.4",120,143,70,54,47,58,23,38
"ENSG00000133142.17",433,1424,2147,1132,1623,1191,1902,1420
"ENSG00000279894.1",0,10,10,8,13,17,9,15
"ENSG00000196507.10",102,519,972,394,918,494,967,444
"ENSG00000224031.1",0,4,3,16,13,18,8,10
"ENSG00000172465.13",77,642,778,374,666,360,511,414
"ENSG00000180284.5",0,0,0,1,1,3,1,0
"ENSG00000123562.16",1111,6233,8879,5513,7856,3903,6208,5642
"ENSG00000231154.1",16,25,14,35,16,24,16,21
"ENSG00000188828.11",0,34,11,2,7,9,7,0
"ENSG00000179363.6",0,0,3,0,4,1,2,0
"ENSG00000123560.13",0,28,231,411,34,52,192,130
"ENSG00000123570.3",72,522,225,187,154,169,230,109
"ENSG00000222419.1",0,0,0,0,0,0,0,0
"ENSG00000231787.4",0,5,0,0,2,0,0,1
"ENSG00000276298.1",0,0,0,0,0,0,0,0
"ENSG00000234345.2",20,1,2,14,7,9,6,0
"ENSG00000231728.3",0,1,3,4,0,6,5,3
"ENSG00000158427.14",8,9,7,7,3,11,5,2
"ENSG00000230312.2",0,7,0,0,3,2,1,4
"ENSG00000227067.3",0,0,0,0,0,0,0,0
"ENSG00000123569.8",0,0,0,0,0,0,0,0
"ENSG00000101812.12",0,0,0,0,0,0,1,2
"ENSG00000235946.1",0,3,0,1,0,6,1,1
"ENSG00000269226.7",8,10,0,1,3,1,1,1
"ENSG00000269743.2",50,143,125,119,178,144,178,134
"ENSG00000166707.10",14,8,10,17,9,2,5,9
"ENSG00000123575.8",329,2310,3684,2069,3569,1651,2550,1982
"ENSG00000123576.5",0,0,0,0,0,0,0,0
"ENSG00000189108.12",0,2,12,10,0,7,0,9
"ENSG00000232665.2",0,0,0,0,0,0,0,0
"ENSG00000223733.1",0,0,0,2,0,0,1,0
"ENSG00000268629.6",0,0,0,0,0,0,0,0
"ENSG00000181819.14",0,1,0,4,0,0,0,0
"ENSG00000206864.1",0,0,0,0,0,0,0,0
"ENSG00000123572.16",422,934,261,205,293,321,242,232
"ENSG00000123561.14",0,0,0,0,5,0,4,1
"ENSG00000230788.2",0,0,0,0,0,0,0,0
"ENSG00000157502.13",68,137,176,94,204,44,75,107
"ENSG00000256709.2",0,0,0,0,0,0,0,0
"ENSG00000202407.1",0,0,0,0,0,0,0,0
"ENSG00000224816.1",0,0,0,0,0,0,0,0
"ENSG00000227657.1",0,0,0,0,0,0,0,0
"ENSG00000277673.1",0,0,0,0,0,0,0,0
"ENSG00000147231.13",51,77,68,115,73,79,43,64
