"","M_W_RNA6","N_W_RNA7","M_W_RNA12","N_W_RNA13","M_W_RNA14","N_W_RNA15","M_W_RNA16","M_W_RNA17","N_W_RNA18"
"ENSG00000284616.1",0,0,0,0,0,0,0,0,0
"ENSG00000284692.2",2,0,5,2,1,2,0,0,0
"ENSG00000284666.1",0,0,0,0,0,0,0,0,0
"ENSG00000260972.1",0,0,0,0,0,0,0,0,0
"ENSG00000283356.1",0,0,0,0,0,0,0,0,0
"ENSG00000236948.2",0,0,0,0,1,0,0,1,0
"ENSG00000264341.1",0,0,0,0,0,0,0,0,0
"ENSG00000264101.1",0,0,0,0,0,0,0,0,0
"ENSG00000131697.17",327,206,78,324,252,266,137,130,257
"ENSG00000069424.14",81,110,19,106,72,88,94,63,97
"ENSG00000116254.17",4,8,9,31,50,12,15,66,9
"ENSG00000285629.1",0,0,0,0,0,0,0,0,0
"ENSG00000116251.10",2688,3591,2472,2037,1609,2939,4454,2565,2344
"ENSG00000226944.1",5,7,0,2,3,6,3,6,3
"ENSG00000158286.12",156,271,151,529,398,263,148,332,572
"ENSG00000116237.15",2959,3745,2054,1644,1279,2535,1901,2273,2115
"ENSG00000225077.3",4,1,1,2,0,0,0,0,1
"ENSG00000173673.7",0,0,0,0,0,0,0,0,0
"ENSG00000158292.6",30,74,3,40,54,37,22,117,62
"ENSG00000097021.19",157,136,52,122,98,194,109,103,116
"ENSG00000271746.1",8,8,7,7,8,11,7,3,3
"ENSG00000069812.11",323,133,53,125,66,341,8,137,110
"ENSG00000187017.16",26,45,0,85,107,74,2,40,87
"ENSG00000265392.1",0,0,0,0,0,0,0,0,0
"ENSG00000231868.1",0,0,0,0,2,0,0,0,0
"ENSG00000215788.10",12,32,3,89,59,54,17,41,52
"ENSG00000171680.21",51,169,26,248,289,237,19,150,225
"ENSG00000162408.10",1236,1611,891,954,698,1134,1187,1127,1276
"ENSG00000253022.1",0,0,0,0,0,0,0,0,0
"ENSG00000229519.2",0,0,0,0,0,0,0,0,0
"ENSG00000173662.20",3,0,8,0,0,2,1,0,4
"ENSG00000204859.12",410,507,100,464,544,599,276,348,435
"ENSG00000162413.16",741,855,261,725,623,721,511,729,567
"ENSG00000116273.5",605,587,126,492,375,530,449,476,628
"ENSG00000041988.15",234,252,62,201,185,242,174,162,165
"ENSG00000007923.15",930,1096,902,867,593,1023,826,738,970
"ENSG00000228750.6",0,0,0,0,0,0,0,0,0
"ENSG00000284744.1",0,0,0,0,0,0,0,0,0
"ENSG00000237436.1",5,3,0,1,2,0,9,3,2
"ENSG00000171735.18",708,753,656,463,394,539,457,627,766
"ENSG00000227950.1",0,0,0,0,0,0,0,0,0
"ENSG00000237365.1",0,0,0,0,0,0,0,0,0
"ENSG00000207056.1",0,0,0,0,0,0,1,0,0
"ENSG00000237402.1",0,3,0,0,0,1,0,0,0
"ENSG00000237728.2",0,0,0,0,0,0,0,0,0
"ENSG00000225126.1",0,1,0,0,0,0,0,0,0
"ENSG00000270171.1",1,1,0,1,0,3,2,3,0
"ENSG00000270035.1",3,1,0,4,13,4,8,4,2
"ENSG00000269978.1",3,4,0,5,6,3,2,2,5
"ENSG00000049245.12",2296,2848,2036,1506,1611,2399,1575,2424,2009
"ENSG00000269925.1",10,13,35,21,26,11,15,26,38
"ENSG00000049246.14",1862,1723,866,1229,1288,2590,1048,1235,1124
"ENSG00000236266.1",0,0,0,1,0,0,0,0,0
"ENSG00000049247.13",1,50,0,1,20,4,3,1,13
"ENSG00000049249.8",7,15,8,9,20,9,13,8,14
"ENSG00000270330.1",1,0,0,0,0,0,0,0,0
"ENSG00000116288.12",3411,4535,2923,2064,1520,3607,2816,2789,2452
"ENSG00000200344.1",0,1,0,0,0,0,0,0,0
"ENSG00000284747.1",6,5,0,13,9,11,1,12,14
"ENSG00000284716.1",3,1,0,2,5,3,0,3,3
"ENSG00000116285.12",14284,2919,1946,2307,1146,1522,1954,3274,6835
"ENSG00000238290.1",8,18,43,15,13,6,3,22,18
"ENSG00000232848.1",1,3,0,0,0,2,1,0,0
"ENSG00000229305.1",0,0,0,1,1,0,4,0,0
"ENSG00000227634.2",1,0,0,2,0,0,0,0,1
"ENSG00000200975.1",0,0,0,0,0,0,0,0,0
"ENSG00000233645.1",0,0,0,0,0,0,0,0,0
"ENSG00000251977.1",0,0,0,0,0,0,0,0,0
"ENSG00000162426.14",32,82,0,47,59,138,27,47,74
"ENSG00000252254.1",3,1,0,0,0,0,2,0,2
"ENSG00000142599.17",5737,5420,6557,6982,5089,7428,4743,4884,5058
"ENSG00000232912.5",4,0,0,20,10,6,9,7,18
"ENSG00000221083.1",1,1,0,4,4,11,4,3,6
"ENSG00000270282.1",0,0,0,0,0,0,0,0,0
"ENSG00000234619.1",0,1,0,0,0,0,1,0,0
"ENSG00000224315.2",22,26,14,64,47,35,6,55,51
"ENSG00000222511.2",1,0,2,3,3,2,4,8,0
"ENSG00000226545.1",0,0,0,0,0,0,0,0,0
"ENSG00000228423.2",7,5,9,50,27,35,1,27,48
"ENSG00000229716.2",0,0,0,0,0,0,0,0,0
"ENSG00000074800.15",8505,11200,3159,3431,3573,6191,15479,7309,7356
"ENSG00000274258.1",0,0,0,1,0,1,0,0,1
"ENSG00000230679.1",8,17,0,5,5,5,5,10,2
"ENSG00000201725.1",0,0,0,0,0,0,0,0,0
"ENSG00000238249.2",0,0,0,0,0,0,0,0,0
"ENSG00000232208.2",0,1,0,0,0,0,0,0,1
"ENSG00000232663.2",0,0,0,0,0,0,0,0,0
"ENSG00000131686.14",0,2,0,0,1,0,0,0,0
"ENSG00000265141.2",0,0,0,0,0,2,1,0,0
"ENSG00000197241.3",7,2,0,0,0,0,0,5,3
"ENSG00000142583.17",70,548,13,135,1029,811,25,3216,504
"ENSG00000252404.1",0,0,0,0,0,0,0,0,0
"ENSG00000180758.11",201,318,112,242,211,272,150,304,288
"ENSG00000228526.7",35,78,60,168,93,111,53,156,183
"ENSG00000284357.1",0,0,0,0,0,0,0,0,0
"ENSG00000234546.3",40,54,16,47,28,56,31,45,45
"ENSG00000049239.12",2072,3230,901,2667,2299,2918,2177,3090,3767
"ENSG00000171621.13",443,592,244,295,307,216,186,648,692
"ENSG00000284652.1",2,6,0,3,3,1,1,1,1
"ENSG00000284693.1",10,7,6,14,10,11,16,12,16
"ENSG00000252956.1",0,0,0,0,0,0,0,0,0
"ENSG00000235263.1",0,0,0,0,0,2,0,0,0
"ENSG00000171612.6",1065,829,639,361,297,571,802,460,539
"ENSG00000231181.1",14,9,3,16,18,30,25,12,29
"ENSG00000188807.12",206,164,18,179,129,120,106,99,163
"ENSG00000171608.15",37,141,85,120,173,148,53,91,143
"ENSG00000179840.5",0,0,0,0,0,0,0,0,0
"ENSG00000233268.3",0,0,0,0,0,0,0,0,0
"ENSG00000231789.2",23,42,23,21,23,44,4,21,18
"ENSG00000171603.17",12088,11356,7258,10650,5643,14873,5211,7258,8299
"ENSG00000271264.1",0,0,0,0,0,0,0,0,0
"ENSG00000280113.2",2,2,7,5,2,3,0,5,1
"ENSG00000178585.14",1341,1743,286,1280,961,1915,919,1034,1121
"ENSG00000223989.1",0,0,0,0,0,1,1,0,0
"ENSG00000285701.1",0,0,0,0,0,0,0,0,0
"ENSG00000162441.11",1050,1407,951,833,697,1303,979,1038,1028
"ENSG00000228150.1",7,2,8,2,5,5,0,4,5
"ENSG00000173614.13",271,418,235,307,227,351,288,305,290
"ENSG00000202415.1",0,2,5,3,2,6,5,5,5
"ENSG00000283611.2",0,0,0,0,0,0,0,0,0
"ENSG00000265521.1",0,1,8,2,0,4,1,1,1
"ENSG00000241326.1",0,0,0,0,0,0,0,0,0
"ENSG00000162444.11",328,238,347,168,136,327,17,89,132
"ENSG00000130939.18",2640,2391,2214,2097,1422,2933,2120,2060,2163
"ENSG00000224340.1",0,0,0,0,0,0,0,0,0
"ENSG00000233623.2",7,7,5,18,19,10,0,5,10
"ENSG00000201746.1",0,0,0,2,1,0,2,0,0
"ENSG00000054523.17",5452,5058,5864,4493,3093,5794,4367,4103,4830
"ENSG00000264881.1",0,0,0,0,1,2,0,0,1
"ENSG00000199562.1",16,17,34,6,14,24,11,10,15
"ENSG00000264501.2",0,0,0,0,0,0,0,0,0
"ENSG00000284735.1",0,0,0,0,1,2,0,0,0
"ENSG00000284642.1",12,16,40,23,23,21,17,24,21
"ENSG00000142657.20",1951,2533,1969,1333,852,2041,2005,1744,1576
"ENSG00000271989.1",0,0,0,0,0,0,2,1,3
"ENSG00000251503.8",1,1,0,0,0,1,0,0,0
"ENSG00000175279.21",15,18,40,5,12,18,8,20,7
"ENSG00000241563.3",1,1,0,2,5,2,1,0,2
"ENSG00000160049.11",1396,1741,1767,1218,1056,1668,1554,1398,1561
"ENSG00000203469.2",0,0,0,0,0,0,2,0,0
"ENSG00000142655.12",362,392,187,320,344,412,174,350,342
"ENSG00000243267.3",1,0,0,6,10,2,2,7,1
"ENSG00000130940.14",2251,2103,1886,3473,2780,2709,1220,1774,1730
"ENSG00000272078.1",3,1,0,7,12,1,0,0,0
"ENSG00000225158.2",0,0,0,0,0,0,0,0,0
"ENSG00000175262.14",2,0,0,1,0,0,0,0,5
"ENSG00000215785.2",1,0,6,5,4,5,0,0,0
"ENSG00000120948.17",1406,1451,1226,1154,773,1621,1062,1266,1468
"ENSG00000277726.4",0,0,0,2,0,0,0,0,0
"ENSG00000009724.16",0,0,0,0,3,0,0,1,0
"ENSG00000271895.2",16,28,12,23,20,35,17,28,31
"ENSG00000116649.9",406,258,200,251,182,233,306,166,320
"ENSG00000171824.13",1279,1776,1230,1152,984,1331,1289,1286,1444
"ENSG00000226849.1",1,5,0,8,9,17,6,3,6
"ENSG00000230337.1",3,6,21,4,1,7,2,4,1
"ENSG00000198793.12",13708,5415,5482,4240,2401,6149,3637,3284,4689
"ENSG00000225602.5",0,0,0,0,0,0,0,2,0
"ENSG00000253086.1",0,0,0,0,0,0,0,0,0
"ENSG00000171819.4",10,212,59,5,44,32,8,19,92
"ENSG00000207451.1",0,0,0,0,0,0,0,0,0
"ENSG00000238173.1",0,1,0,0,1,0,0,0,0
"ENSG00000120942.13",730,822,308,425,245,698,638,436,515
"ENSG00000238199.1",0,0,0,0,0,0,0,0,0
"ENSG00000284646.1",3,5,5,26,24,11,3,16,11
"ENSG00000224338.2",0,0,0,0,0,0,0,0,0
"ENSG00000204624.7",26,35,0,28,15,26,7,26,12
"ENSG00000285833.1",0,0,0,0,0,0,0,0,0
"ENSG00000235643.1",0,0,13,0,0,0,0,0,0
"ENSG00000284708.1",0,0,0,0,1,0,0,0,0
"ENSG00000116661.10",20,125,5,34,60,64,15,91,106
