"","M_B_RNA1","M_B_RNA2","M_B_RNA4","M_W_RNA6","M_B_RNA8","M_B_RNA9","M_W_RNA12","M_W_RNA14","M_W_RNA16","M_W_RNA17","M_B_RNA19","M_B_RNA20"
"ENSG00000279839.1",0,0,0,0,0,0,0,1,0,0,0,1
"ENSG00000272235.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000130762.14",135,312,92,661,375,232,116,422,162,319,463,333
"ENSG00000272088.1",0,0,0,4,2,0,0,2,3,1,2,4
"ENSG00000162591.15",238,665,213,471,318,302,54,698,78,301,150,298
"ENSG00000207776.1",1,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000238260.1",3,6,0,1,1,3,0,5,0,5,1,3
"ENSG00000158109.14",450,344,264,1405,1000,346,615,690,880,1298,741,821
"ENSG00000116213.15",104,133,68,336,234,120,62,222,200,250,159,232
"ENSG00000078900.14",104,157,39,82,119,28,26,181,16,45,23,245
"ENSG00000227589.1",0,0,0,1,0,0,8,0,0,0,0,0
"ENSG00000235131.1",0,0,0,0,0,0,0,2,0,0,0,0
"ENSG00000227372.12",193,366,85,390,237,165,233,323,375,358,400,419
"ENSG00000276189.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162592.9",0,0,0,0,0,0,0,2,0,0,0,0
"ENSG00000235169.8",14,4,11,46,14,22,0,12,20,11,18,4
"ENSG00000130764.9",387,376,176,1068,717,348,547,682,711,807,630,608
"ENSG00000266075.2",0,0,0,0,2,2,0,1,1,1,3,2
"ENSG00000272153.1",6,0,22,1,5,2,7,6,0,6,2,5
"ENSG00000116198.12",426,500,204,1373,1017,442,1610,921,683,1307,975,954
"ENSG00000169598.15",49,69,72,97,100,78,19,57,206,133,93,117
"ENSG00000198912.10",145,167,95,385,387,106,265,284,336,422,327,446
"ENSG00000236423.5",7,8,0,30,11,25,27,19,20,13,36,9
"ENSG00000233304.6",0,0,0,1,0,2,0,1,1,2,0,2
"ENSG00000226374.2",0,0,3,2,0,0,0,0,0,1,0,1
"ENSG00000284668.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284703.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229280.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235054.3",0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000284694.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227169.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232596.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000196581.10",10,9,63,56,33,36,16,83,17,37,4,8
"ENSG00000284739.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284674.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231510.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284616.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284692.2",2,4,0,2,0,0,5,1,0,0,0,2
"ENSG00000284666.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260972.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283356.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236948.2",0,0,0,0,0,0,0,1,0,1,0,0
"ENSG00000264341.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264101.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000131697.17",108,174,63,327,146,194,78,252,137,130,336,177
"ENSG00000069424.14",31,73,21,81,35,82,19,72,94,63,70,105
"ENSG00000116254.17",8,42,39,4,10,12,9,50,15,66,5,7
"ENSG00000285629.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000116251.10",829,584,563,2688,2194,545,2472,1609,4454,2565,2140,2297
"ENSG00000226944.1",0,5,0,5,5,1,0,3,3,6,3,0
"ENSG00000158286.12",170,388,262,156,255,344,151,398,148,332,236,428
"ENSG00000116237.15",707,583,615,2959,2273,384,2054,1279,1901,2273,1362,1545
"ENSG00000225077.3",0,0,0,4,0,3,1,0,0,0,3,2
"ENSG00000173673.7",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000158292.6",23,63,0,30,29,40,3,54,22,117,9,122
"ENSG00000097021.19",57,138,46,157,92,75,52,98,109,103,77,104
"ENSG00000271746.1",9,3,5,8,2,0,7,8,7,3,2,4
"ENSG00000069812.11",43,65,28,323,126,43,53,66,8,137,84,146
"ENSG00000187017.16",18,106,52,26,23,200,0,107,2,40,7,42
"ENSG00000265392.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231868.1",0,0,0,0,3,1,0,2,0,0,0,1
"ENSG00000215788.10",25,85,6,12,23,35,3,59,17,41,8,76
"ENSG00000171680.21",83,301,91,51,100,128,26,289,19,150,64,247
"ENSG00000162408.10",287,325,222,1236,832,375,891,698,1187,1127,916,1071
